type,name,category,city,capacity,price_range,rating,contact_email,price
Vendor,Orion 153,Decoration,Chicago,44,$$,3.1,vendor153@example.com,150
Venue,Oasis 40,Outdoor,Chicago,1407,$,3.2,venue40@example.com,50
Vendor,Phoenix 90,Hotel,Los Angeles,86,$,4.2,vendor90@example.com,50
Venue,Oasis 308,Security,Boston,1649,$$,4.8,venue308@example.com,150
Vendor,Cosmos 180,Hotel,Chicago,51,$,4.1,vendor180@example.com,50
Venue,Mirage 67,AV,Seattle,361,$$,4.7,venue67@example.com,150
Venue,Echo 276,AV,Toronto,161,$$,3.6,venue276@example.com,150
Venue,Aurora 68,AV,Boston,1136,$$$$,3.4,venue68@example.com,500
Venue,Serenity 319,AV,Chicago,533,$$,4.7,venue319@example.com,150
Vendor,Comet 49,Hotel,Seattle,67,$$,3.1,vendor49@example.com,150
Vendor,Stratus 499,Photography,Los Angeles,59,$,4.0,vendor499@example.com,50
Vendor,Nova 215,Photography,Vancouver,43,$$$$,4.6,vendor215@example.com,500
Vendor,Cosmos 254,Security,Toronto,39,$$,4.5,vendor254@example.com,150
Venue,Nebula 328,Photography,Seattle,1330,$$$,3.7,venue328@example.com,300
Venue,Harbor 383,Outdoor,Los Angeles,611,$$$$,4.7,venue383@example.com,500
Venue,Eclipse 452,Community Hall,Vancouver,898,$,4.5,venue452@example.com,50
Vendor,Spectrum 23,Security,New York,97,$$$,4.4,vendor23@example.com,300
Venue,Mirage 219,Photography,New York,1399,$,4.3,venue219@example.com,50
Vendor,Stratus 288,Community Hall,Vancouver,94,$$$,3.6,vendor288@example.com,300
Venue,Solstice 437,Community Hall,New York,241,$$$$,3.5,venue437@example.com,500
Vendor,Comet 265,Outdoor,Boston,37,$$,4.2,vendor265@example.com,150
Venue,Odyssey 89,Community Hall,New York,1245,$,4.4,venue89@example.com,50
Venue,Vertex 64,Security,Los Angeles,1054,$$$$,4.7,venue64@example.com,500
Vendor,Phoenix 327,Decoration,Toronto,12,$$$$,4.0,vendor327@example.com,500
Vendor,Comet 217,Decoration,Toronto,64,$$$,3.7,vendor217@example.com,300
Venue,Zenith 352,Catering,New York,369,$$$$,3.5,venue352@example.com,500
Vendor,Lynx 437,Conference Center,New York,29,$$,4.0,vendor437@example.com,150
Venue,Zenith 257,Outdoor,Chicago,1074,$$$$,3.5,venue257@example.com,500
Vendor,Comet 136,Conference Center,Toronto,76,$$,3.3,vendor136@example.com,150
Vendor,Orion 145,Decoration,Seattle,59,$,3.1,vendor145@example.com,50
Vendor,Lyra 55,AV,Chicago,96,$,3.6,vendor55@example.com,50
Vendor,Vertex 460,Outdoor,Vancouver,11,$,4.0,vendor460@example.com,50
Venue,Harbor 169,Outdoor,Toronto,164,$,4.6,venue169@example.com,50
Vendor,Astra 418,Hotel,Los Angeles,84,$,4.0,vendor418@example.com,50
Vendor,Lumen 29,Catering,Toronto,73,$$,4.1,vendor29@example.com,150
Vendor,Pulse 324,Catering,Los Angeles,40,$$$,4.0,vendor324@example.com,300
Vendor,Stratus 486,Security,Los Angeles,12,$,3.2,vendor486@example.com,50
Vendor,Vertex 317,Conference Center,Seattle,79,$$$$,3.2,vendor317@example.com,500
Venue,Eclipse 87,Security,Seattle,405,$$,3.3,venue87@example.com,150
Venue,Mirage 433,Community Hall,Boston,161,$$$,4.8,venue433@example.com,300
Venue,Nebula 185,Community Hall,Chicago,958,$$,4.9,venue185@example.com,150
Vendor,Atlas 479,Decoration,Seattle,15,$$$$,3.7,vendor479@example.com,500
Vendor,Vertex 35,AV,Toronto,78,$$$,4.3,vendor35@example.com,300
Venue,Serenity 295,Community Hall,Boston,249,$$,4.9,venue295@example.com,150
Vendor,Comet 393,Security,Los Angeles,34,$$,4.6,vendor393@example.com,150
Venue,Serenity 426,Outdoor,Vancouver,195,$$$,4.5,venue426@example.com,300
Vendor,Radiant 214,Photography,Vancouver,66,$$$,4.9,vendor214@example.com,300
Venue,Serenity 261,Outdoor,Seattle,1403,$$,4.3,venue261@example.com,150
Venue,Vista 238,Catering,New York,166,$,4.9,venue238@example.com,50
Vendor,Atlas 60,AV,Los Angeles,42,$$,3.2,vendor60@example.com,150
Vendor,Echo 84,Hotel,Boston,28,$,4.6,vendor84@example.com,50
Venue,Odyssey 446,Photography,Vancouver,1075,$,4.6,venue446@example.com,50
Vendor,Nimbus 368,Outdoor,Chicago,22,$$$,3.0,vendor368@example.com,300
Vendor,Helix 301,AV,New York,28,$$$,3.6,vendor301@example.com,300
Vendor,Nimbus 100,Outdoor,Chicago,24,$$,4.6,vendor100@example.com,150
Vendor,Helix 350,Community Hall,Boston,96,$$$,3.4,vendor350@example.com,300
Venue,Odyssey 266,AV,Los Angeles,1463,$,3.6,venue266@example.com,50
Vendor,Spectrum 496,Catering,Los Angeles,22,$$,3.5,vendor496@example.com,150
Vendor,Spectrum 30,Theater,Toronto,64,$$$,4.2,vendor30@example.com,300
Venue,Harbor 56,Outdoor,Chicago,911,$$$,4.8,venue56@example.com,300
Venue,Mirage 121,Photography,Toronto,1896,$$,4.5,venue121@example.com,150
Venue,Galaxy 216,AV,Toronto,1618,$$,3.9,venue216@example.com,150
Venue,Zenith 26,Outdoor,Los Angeles,985,$$$,3.4,venue26@example.com,300
Venue,Horizon 73,Community Hall,Los Angeles,1907,$$$$,4.8,venue73@example.com,500
Venue,Galaxy 45,Hotel,Chicago,1668,$$,4.5,venue45@example.com,150
Venue,Summit 248,AV,Seattle,333,$$,4.2,venue248@example.com,150
Vendor,Helix 222,Conference Center,Chicago,96,$$$$,3.2,vendor222@example.com,500
Venue,Summit 282,Decoration,Chicago,613,$$$,3.8,venue282@example.com,300
Vendor,Atlas 394,Photography,Chicago,10,$$,3.3,vendor394@example.com,150
Vendor,Spectrum 415,Community Hall,Los Angeles,49,$$,4.8,vendor415@example.com,150
Vendor,Nova 311,Security,Vancouver,89,$$,3.6,vendor311@example.com,150
Venue,Vertex 245,Catering,New York,1010,$$$$,4.7,venue245@example.com,500
Vendor,Quantum 323,Theater,Los Angeles,13,$$$,4.5,vendor323@example.com,300
Venue,Eclipse 322,Outdoor,Chicago,532,$$,4.9,venue322@example.com,150
Vendor,Nova 144,AV,Chicago,73,$$$$,4.0,vendor144@example.com,500
Venue,Crown 159,Photography,New York,696,$$$,3.7,venue159@example.com,300
Vendor,Lyra 478,Hotel,Boston,71,$,4.6,vendor478@example.com,50
Venue,Galaxy 430,Theater,Toronto,1264,$$$,4.1,venue430@example.com,300
Vendor,Vertex 442,Catering,New York,45,$$$,3.2,vendor442@example.com,300
Venue,Oasis 463,Outdoor,Toronto,1438,$$,3.5,venue463@example.com,150
Venue,Momentum 310,Hotel,Toronto,1694,$,4.1,venue310@example.com,50
Vendor,Helix 198,Outdoor,Chicago,72,$$$$,3.7,vendor198@example.com,500
Venue,Harbor 61,Photography,Toronto,390,$,3.5,venue61@example.com,50
Vendor,Helix 385,Photography,Vancouver,13,$$$$,3.8,vendor385@example.com,500
Vendor,Stratus 96,Hotel,Seattle,87,$$$,3.3,vendor96@example.com,300
Vendor,Stratus 268,Hotel,Chicago,58,$$,3.7,vendor268@example.com,150
Vendor,Nimbus 150,AV,Seattle,33,$$$$,4.8,vendor150@example.com,500
Vendor,Phoenix 151,Conference Center,Seattle,85,$,3.5,vendor151@example.com,50
Vendor,Echo 366,Community Hall,Toronto,97,$$$$,3.1,vendor366@example.com,500
Vendor,Pulse 169,Catering,New York,16,$,3.3,vendor169@example.com,50
Venue,Momentum 299,Decoration,Boston,1263,$$$$,4.4,venue299@example.com,500
Vendor,Atlas 190,Community Hall,Toronto,50,$$$,4.4,vendor190@example.com,300
Venue,Momentum 315,Outdoor,New York,146,$$$$,4.1,venue315@example.com,500
Venue,Harbor 311,Security,New York,1185,$$$,3.4,venue311@example.com,300
Venue,Horizon 362,Photography,New York,808,$$,4.4,venue362@example.com,150
Venue,Momentum 480,Theater,Los Angeles,573,$$$,3.6,venue480@example.com,300
Venue,Vertex 111,Photography,Toronto,1911,$$,3.2,venue111@example.com,150
Vendor,Astra 490,Conference Center,Vancouver,58,$$$$,3.2,vendor490@example.com,500
Venue,Galaxy 487,Outdoor,Seattle,1379,$$,4.6,venue487@example.com,150
Venue,Vertex 364,Security,Seattle,1602,$$$$,3.7,venue364@example.com,500
Venue,Crown 255,Catering,Boston,970,$,3.8,venue255@example.com,50
Venue,Oasis 260,Community Hall,Chicago,800,$$$$,5.0,venue260@example.com,500
Vendor,Vertex 303,Photography,Seattle,64,$$,4.6,vendor303@example.com,150
Vendor,Helix 178,Hotel,New York,41,$$$$,4.9,vendor178@example.com,500
Venue,Harbor 495,Photography,Toronto,432,$$$,3.3,venue495@example.com,300
Vendor,Phoenix 171,Photography,Seattle,57,$$$$,4.5,vendor171@example.com,500
Venue,Echo 378,Decoration,Chicago,579,$$$,4.0,venue378@example.com,300
Vendor,Comet 27,Hotel,Seattle,42,$$$$,4.1,vendor27@example.com,500
Vendor,Nova 346,Decoration,New York,62,$$,4.7,vendor346@example.com,150
Venue,Aurora 138,Catering,Toronto,598,$$$,3.2,venue138@example.com,300
Venue,Harbor 356,Catering,Boston,590,$$,3.0,venue356@example.com,150
Venue,Serenity 366,Community Hall,Boston,724,$$$,3.2,venue366@example.com,300
Vendor,Comet 443,Hotel,Boston,11,$$,3.5,vendor443@example.com,150
Vendor,Orion 250,AV,Boston,54,$$$$,4.5,vendor250@example.com,500
Vendor,Pulse 449,Decoration,Vancouver,77,$$$$,4.1,vendor449@example.com,500
Vendor,Cosmos 330,Security,Chicago,53,$,3.6,vendor330@example.com,50
Vendor,Vega 157,Community Hall,Chicago,88,$,3.6,vendor157@example.com,50
Venue,Crown 200,Conference Center,Vancouver,1676,$$,3.3,venue200@example.com,150
Venue,Horizon 214,Theater,Seattle,1410,$$$,3.6,venue214@example.com,300
Venue,Harbor 409,Decoration,Chicago,390,$$,4.3,venue409@example.com,150
Venue,Vista 333,Conference Center,Los Angeles,1722,$$,4.9,venue333@example.com,150
Venue,Vertex 209,Decoration,Los Angeles,250,$$,3.9,venue209@example.com,150
Vendor,Nimbus 114,Security,Toronto,83,$,4.4,vendor114@example.com,50
Venue,Mirage 79,Security,Toronto,1310,$$,5.0,venue79@example.com,150
Venue,Zenith 30,Photography,Boston,551,$$$,4.3,venue30@example.com,300
Vendor,Astra 36,Community Hall,Seattle,79,$,3.7,vendor36@example.com,50
Vendor,Lyra 196,Photography,Toronto,35,$$$,3.1,vendor196@example.com,300
Vendor,Atlas 58,AV,Los Angeles,80,$,4.7,vendor58@example.com,50
Vendor,Helix 337,Hotel,Boston,65,$$$$,3.2,vendor337@example.com,500
Vendor,Helix 97,Conference Center,Vancouver,98,$$$$,4.6,vendor97@example.com,500
Venue,Aurora 166,Hotel,Chicago,424,$$$$,4.4,venue166@example.com,500
Vendor,Lumen 419,Community Hall,Toronto,74,$$,3.4,vendor419@example.com,150
Venue,Summit 496,Community Hall,Vancouver,1660,$$$,4.1,venue496@example.com,300
Vendor,Lyra 325,Conference Center,New York,40,$$$,4.2,vendor325@example.com,300
Venue,Odyssey 66,AV,Los Angeles,1105,$$,3.2,venue66@example.com,150
Venue,Serenity 142,Photography,Vancouver,1131,$,4.4,venue142@example.com,50
Vendor,Radiant 426,Outdoor,Seattle,50,$,3.9,vendor426@example.com,50
Vendor,Nimbus 328,Security,Vancouver,25,$$$,3.8,vendor328@example.com,300
Vendor,Vega 156,Conference Center,Seattle,62,$$$$,4.2,vendor156@example.com,500
Venue,Mirage 332,Community Hall,Toronto,337,$$$,4.2,venue332@example.com,300
Vendor,Nimbus 165,Catering,Boston,42,$$$$,3.1,vendor165@example.com,500
Venue,Zenith 250,Outdoor,Toronto,977,$$$,4.5,venue250@example.com,300
Vendor,Atlas 408,Hotel,Boston,99,$$$,4.1,vendor408@example.com,300
Vendor,Helix 209,AV,Boston,77,$$$$,3.2,vendor209@example.com,500
Venue,Vista 306,Decoration,Seattle,623,$$$,3.2,venue306@example.com,300
Vendor,Quantum 235,Hotel,Vancouver,20,$$,4.7,vendor235@example.com,150
Vendor,Echo 476,Conference Center,Boston,74,$,4.5,vendor476@example.com,50
Venue,Summit 50,Conference Center,New York,1466,$$$$,4.9,venue50@example.com,500
Vendor,Radiant 397,Outdoor,Los Angeles,45,$,4.2,vendor397@example.com,50
Venue,Crown 3,Decoration,Vancouver,1144,$$$,4.7,venue3@example.com,300
Vendor,Radiant 45,Community Hall,New York,94,$,4.0,vendor45@example.com,50
Venue,Horizon 351,Outdoor,Toronto,1444,$$,3.3,venue351@example.com,150
Vendor,Vertex 405,Hotel,Chicago,46,$$$$,3.4,vendor405@example.com,500
Vendor,Orion 37,Theater,Boston,38,$$$,3.9,vendor37@example.com,300
Venue,Eclipse 345,Community Hall,Toronto,1441,$,3.0,venue345@example.com,50
Vendor,Comet 495,Conference Center,Chicago,45,$$,4.6,vendor495@example.com,150
Venue,Solstice 482,Catering,Los Angeles,995,$$$$,3.5,venue482@example.com,500
Vendor,Radiant 76,Hotel,Los Angeles,72,$,4.6,vendor76@example.com,50
Venue,Horizon 34,Community Hall,New York,997,$$,3.5,venue34@example.com,150
Venue,Nebula 32,Catering,Seattle,1205,$$$,3.4,venue32@example.com,300
Venue,Solstice 232,AV,New York,319,$$,4.0,venue232@example.com,150
Vendor,Orion 464,Outdoor,Boston,91,$,4.2,vendor464@example.com,50
Venue,Vista 193,Decoration,Seattle,221,$,3.9,venue193@example.com,50
Venue,Crown 334,Catering,Los Angeles,1513,$,4.2,venue334@example.com,50
Venue,Cascade 4,Catering,Los Angeles,510,$$$,4.8,venue4@example.com,300
Venue,Cascade 205,AV,Vancouver,1805,$$$,3.4,venue205@example.com,300
Vendor,Pulse 15,Theater,Vancouver,84,$$,4.5,vendor15@example.com,150
Vendor,Vega 300,Catering,Vancouver,53,$$$,4.4,vendor300@example.com,300
Venue,Galaxy 307,Outdoor,Boston,1825,$$,3.1,venue307@example.com,150
Venue,Nebula 110,Catering,Boston,306,$$$$,3.9,venue110@example.com,500
Venue,Nebula 431,Photography,Toronto,1371,$$$$,4.3,venue431@example.com,500
Venue,Eclipse 78,Community Hall,New York,1200,$$$$,3.7,venue78@example.com,500
Venue,Cascade 85,Hotel,Toronto,1273,$,3.8,venue85@example.com,50
Venue,Aurora 287,Conference Center,Vancouver,833,$$$$,3.3,venue287@example.com,500
Venue,Vista 83,Decoration,Vancouver,1883,$$$$,4.1,venue83@example.com,500
Vendor,Quantum 492,Decoration,Vancouver,53,$,4.2,vendor492@example.com,50
Vendor,Stratus 290,Theater,Seattle,20,$$,4.8,vendor290@example.com,150
Vendor,Comet 395,AV,Chicago,75,$$,3.6,vendor395@example.com,150
Venue,Echo 399,Security,Los Angeles,1105,$,3.1,venue399@example.com,50
Venue,Serenity 324,Security,Boston,1434,$$,3.5,venue324@example.com,150
Vendor,Radiant 20,Catering,Seattle,96,$$$$,4.3,vendor20@example.com,500
Vendor,Nimbus 417,Theater,New York,81,$$,3.8,vendor417@example.com,150
Vendor,Cosmos 423,Decoration,Boston,12,$$$$,4.4,vendor423@example.com,500
Venue,Mirage 6,Photography,Toronto,337,$$,4.7,venue6@example.com,150
Vendor,Stratus 232,Outdoor,Seattle,99,$,4.9,vendor232@example.com,50
Venue,Harbor 466,Hotel,Boston,932,$$$$,5.0,venue466@example.com,500
Venue,Crown 98,Hotel,Boston,1845,$$,3.3,venue98@example.com,150
Venue,Vista 267,AV,Los Angeles,847,$,4.0,venue267@example.com,50
Venue,Momentum 358,Conference Center,Seattle,1468,$$$,4.5,venue358@example.com,300
Vendor,Comet 369,Conference Center,Boston,19,$$,3.5,vendor369@example.com,150
Vendor,Phoenix 299,Photography,New York,88,$,4.5,vendor299@example.com,50
Venue,Cascade 381,Community Hall,Vancouver,1887,$$$,3.1,venue381@example.com,300
Vendor,Cosmos 132,Catering,Los Angeles,89,$$$$,4.1,vendor132@example.com,500
Venue,Galaxy 382,Outdoor,Boston,889,$$$$,4.4,venue382@example.com,500
Venue,Momentum 491,Outdoor,Vancouver,1044,$$$$,3.3,venue491@example.com,500
Venue,Vertex 119,Security,Boston,401,$,3.1,venue119@example.com,50
Vendor,Phoenix 401,Theater,Toronto,82,$$$,4.4,vendor401@example.com,300
Venue,Odyssey 251,Catering,Los Angeles,384,$$$$,4.4,venue251@example.com,500
Vendor,Lyra 24,Security,New York,77,$$$,3.3,vendor24@example.com,300
Venue,Momentum 10,AV,Toronto,1293,$,4.3,venue10@example.com,50
Venue,Mirage 197,Hotel,Chicago,1494,$$$$,4.6,venue197@example.com,500
Vendor,Helix 104,Theater,Seattle,78,$$$$,4.6,vendor104@example.com,500
Venue,Cascade 82,Hotel,New York,1511,$$$$,4.8,venue82@example.com,500
Vendor,Orion 284,Photography,Boston,13,$$$$,4.8,vendor284@example.com,500
Vendor,Nova 88,Security,Boston,80,$$$,4.1,vendor88@example.com,300
Vendor,Lynx 298,Hotel,Vancouver,39,$$,4.2,vendor298@example.com,150
Venue,Summit 240,Outdoor,New York,771,$$,3.4,venue240@example.com,150
Venue,Horizon 291,Photography,Seattle,1290,$$,3.6,venue291@example.com,150
Venue,Crown 212,Outdoor,Chicago,1893,$$$,4.4,venue212@example.com,300
Vendor,Comet 218,Catering,Toronto,56,$$$$,4.7,vendor218@example.com,500
Venue,Summit 360,Conference Center,Vancouver,122,$,4.3,venue360@example.com,50
Venue,Horizon 450,AV,Vancouver,1475,$$$$,3.6,venue450@example.com,500
Venue,Horizon 228,Theater,New York,212,$$$,4.2,venue228@example.com,300
Vendor,Vertex 451,Decoration,Vancouver,72,$$$$,3.0,vendor451@example.com,500
Vendor,Spectrum 447,Community Hall,Boston,13,$$$,3.2,vendor447@example.com,300
Vendor,Phoenix 297,Security,Seattle,53,$,3.4,vendor297@example.com,50
Vendor,Stratus 2,Security,Los Angeles,36,$,4.9,vendor2@example.com,50
Venue,Solstice 465,Conference Center,Chicago,1517,$$,4.0,venue465@example.com,150
Venue,Zenith 363,Community Hall,Toronto,1844,$$$$,4.1,venue363@example.com,500
Venue,Summit 469,AV,Chicago,306,$,4.8,venue469@example.com,50
Vendor,Astra 436,Conference Center,Boston,29,$,3.1,vendor436@example.com,50
Venue,Momentum 429,AV,Seattle,808,$$$,4.5,venue429@example.com,300
Venue,Nebula 8,Decoration,Los Angeles,120,$$$,4.1,venue8@example.com,300
Venue,Momentum 156,Conference Center,Vancouver,1466,$,3.2,venue156@example.com,50
Vendor,Radiant 42,Hotel,Chicago,80,$$$,4.9,vendor42@example.com,300
Venue,Momentum 441,Community Hall,Los Angeles,1234,$$$,4.1,venue441@example.com,300
Venue,Horizon 483,AV,Vancouver,866,$$,4.2,venue483@example.com,150
Venue,Galaxy 423,Hotel,New York,1541,$$$$,3.5,venue423@example.com,500
Vendor,Phoenix 279,AV,Toronto,91,$$$$,4.8,vendor279@example.com,500
Vendor,Vega 450,Conference Center,Los Angeles,86,$$$,4.1,vendor450@example.com,300
Venue,Vertex 335,Community Hall,Vancouver,302,$,3.6,venue335@example.com,50
Vendor,Comet 77,Decoration,Vancouver,22,$$$$,4.2,vendor77@example.com,500
Vendor,Phoenix 435,Theater,Los Angeles,26,$$,3.9,vendor435@example.com,150
Vendor,Spectrum 68,Catering,New York,91,$,4.9,vendor68@example.com,50
Vendor,Comet 95,Catering,Toronto,18,$$$$,3.1,vendor95@example.com,500
Vendor,Cosmos 31,Security,Boston,54,$$$,4.2,vendor31@example.com,300
Vendor,Nova 82,Security,New York,44,$$,4.8,vendor82@example.com,150
Vendor,Helix 208,Outdoor,Vancouver,18,$$$,4.7,vendor208@example.com,300
Venue,Echo 449,Conference Center,Vancouver,457,$,3.6,venue449@example.com,50
Venue,Vertex 454,Catering,New York,1627,$$$,3.0,venue454@example.com,300
Venue,Aurora 229,Security,Seattle,1429,$$,4.0,venue229@example.com,150
Venue,Summit 353,Conference Center,Chicago,960,$,3.1,venue353@example.com,50
Vendor,Astra 229,Security,Chicago,22,$$$$,4.3,vendor229@example.com,500
Venue,Nebula 213,Photography,Seattle,1994,$,4.7,venue213@example.com,50
Venue,Oasis 80,Catering,Chicago,1953,$$,3.1,venue80@example.com,150
Venue,Vertex 149,Community Hall,Vancouver,748,$,4.5,venue149@example.com,50
Venue,Serenity 303,AV,Toronto,310,$,3.9,venue303@example.com,50
Vendor,Atlas 129,Hotel,Seattle,98,$$,3.8,vendor129@example.com,150
Vendor,Phoenix 278,Theater,Chicago,32,$,3.8,vendor278@example.com,50
Vendor,Vega 7,Decoration,Boston,53,$$$,3.0,vendor7@example.com,300
Venue,Aurora 343,Theater,Chicago,1041,$$,3.6,venue343@example.com,150
Venue,Solstice 486,Security,Seattle,627,$$,3.6,venue486@example.com,150
Vendor,Stratus 212,Community Hall,Vancouver,89,$$$,4.4,vendor212@example.com,300
Venue,Eclipse 134,Outdoor,New York,734,$$$$,4.7,venue134@example.com,500
Vendor,Vega 204,Conference Center,New York,62,$$$,3.3,vendor204@example.com,300
Venue,Echo 312,Photography,New York,170,$$$$,3.1,venue312@example.com,500
Vendor,Astra 223,Security,Toronto,43,$$,3.0,vendor223@example.com,150
Vendor,Spectrum 130,Photography,New York,96,$$$,3.7,vendor130@example.com,300
Venue,Harbor 1,Conference Center,Chicago,552,$$$$,3.7,venue1@example.com,500
Venue,Nebula 317,Catering,Boston,1283,$$,3.2,venue317@example.com,150
Vendor,Pulse 207,Theater,Seattle,73,$,3.9,vendor207@example.com,50
Vendor,Vertex 48,Photography,Vancouver,42,$$$$,4.0,vendor48@example.com,500
